Dataset_ID	Sample_ID	Platform_ID	cell_type	gender	tissue
GSE4611	GSM103164	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103165	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103166	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103167	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103168	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103169	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103170	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103171	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103172	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103173	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103174	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103175	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103176	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103177	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103178	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103179	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103180	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103181	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103182	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103183	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103184	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103185	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103186	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103187	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103188	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103189	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103190	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103191	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103192	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103193	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103194	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103195	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103196	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103197	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103198	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103199	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103200	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103201	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103202	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103203	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103204	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103205	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103206	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103207	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103208	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103209	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103210	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103211	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103212	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103213	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103214	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103215	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103216	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103217	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103218	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103219	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103220	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103221	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103222	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103223	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103224	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103225	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103226	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103227	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103228	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103229	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103230	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103231	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103232	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103233	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103234	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103235	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103236	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103237	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103238	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103239	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103240	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103241	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103242	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103243	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103244	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103245	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103246	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103247	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103248	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103249	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103250	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103251	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103252	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103253	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103254	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103255	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103256	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103257	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103258	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103259	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103260	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103261	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103262	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103263	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103264	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103265	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103266	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103267	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103268	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103269	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103270	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103271	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103272	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103273	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103274	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103275	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103276	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103277	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103278	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103279	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103280	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103281	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103282	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103283	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103284	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM103285	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123734	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123735	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123736	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123737	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123738	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123739	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123740	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123741	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123742	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123743	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123744	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123745	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123746	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123747	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123748	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123749	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123750	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123751	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123752	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123753	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123754	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123755	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123756	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123757	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123758	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123759	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123760	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123761	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123762	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123763	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123764	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123765	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123766	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123767	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123768	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123769	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123770	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123771	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123772	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123773	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123774	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123775	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123776	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123777	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123778	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123779	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
GSE4611	GSM1123780	GPL96	invasive mammary carcinoma	female	pretreatment excision biopsy
