Dataset_ID	Sample_ID	Platform_ID	tissue_type
GSE10780	GSM272174	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272175	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272176	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272177	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272178	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272179	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272180	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272181	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272182	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272183	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272184	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272185	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272186	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272187	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272188	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272189	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272190	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272191	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272192	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272193	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272194	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272195	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272196	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272197	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272198	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272199	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272200	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272201	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272202	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272203	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272204	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272205	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272206	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272207	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272208	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272209	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272210	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272211	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272212	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272213	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272214	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272215	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272216	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272217	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272218	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272219	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272220	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272221	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272222	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272223	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272224	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272225	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272226	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272227	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272228	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272229	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272230	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272231	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272232	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272233	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272234	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272235	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272236	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272237	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272238	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272239	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272240	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272241	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272242	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272243	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272244	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272245	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272246	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272247	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272248	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272249	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272250	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272251	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272252	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272253	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272254	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272255	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272256	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272257	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272258	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272259	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272260	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272261	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272262	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272263	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272264	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272265	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272266	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272267	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272268	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272269	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272270	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272271	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272272	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272273	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272274	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272275	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272276	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272277	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272278	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272279	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272280	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272281	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272282	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272283	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272284	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272285	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272286	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272287	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272288	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272289	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272290	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272291	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272292	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272293	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272294	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272295	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272296	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272297	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272298	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272299	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272300	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272301	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272302	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272303	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272304	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272305	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272306	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272307	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272308	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272309	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272310	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272311	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272312	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272313	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272314	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272315	GPL570	Unremarkable breast ducts (Normal)
GSE10780	GSM272316	GPL570	Invasive ductal carcinoma (IDC)
GSE10780	GSM272317	GPL570	Unremarkable breast ducts (Normal)
